key,locaties,db_veld,categorie,opmerking
12x33cl,Afvullen!C7,"recipe_verpakking.formaten (bevat ""12x33cl""?)",verpakking-checkbox,
12x33cl blik,Afvullen!C9,"recipe_verpakking.formaten (bevat ""12x33cl blik""?)",verpakking-checkbox,
20L,Afvulverslag!C35,"recipe_verpakking.formaten (bevat ""20L""?)",verpakking-checkbox,
20L keykeg,Afvulverslag!C34,"recipe_verpakking.formaten (bevat ""20L keykeg""?)",verpakking-checkbox,
24x33cl,Afvullen!C6,"recipe_verpakking.formaten (bevat ""24x33cl""?)",verpakking-checkbox,
24x33cl blik,Afvullen!C8,"recipe_verpakking.formaten (bevat ""24x33cl blik""?)",verpakking-checkbox,
50L,Afvulverslag!C37,"recipe_verpakking.formaten (bevat ""50L""?)",verpakking-checkbox,
6x75cl,Afvulverslag!C23,"recipe_verpakking.formaten (bevat ""6x75cl""?)",verpakking-checkbox,
ADF % +/-,Recept-voorblad!E18; Recept-voorblad!E18,recipe_specificaties.adf_pct_tol,tolerantie,
"ADF % Spec,",Recept-voorblad!F18; Recept-voorblad!F18,recipe_specificaties.adf_pct,spec-waarde,
Alcohol +/-,Recept-voorblad!E14; Recept-voorblad!E14,recipe_specificaties.alcohol_tol,tolerantie,
"Alcohol Spec,",Recept-voorblad!F14; Recept-voorblad!F14,recipe_specificaties.alcohol,spec-waarde,
Alkalinity (water),Recept-voorblad!P97,recipe_water.alkalinity,water,
Beluchting,Brouwen!N14,recipe_brouwspecificaties.beluchting,brouwspecificatie,
Bier Stijl,Recept-voorblad!C7,recipes.bierstijl,recept-basis,
Bier risico,Recept-voorblad!N17,recipe_fermentatie.bier_risico,recept-basis (verplaatst),
Bier status,Recept-voorblad!N23,recipe_fermentatie.bier_status,recept-basis (verplaatst),
Bitterheid +/-,Recept-voorblad!E15; Recept-voorblad!E15,recipe_specificaties.bitterheid_tol,tolerantie,
Bitterheid BH,Recept-voorblad!M26,recipe_fermentatie.bitterheid_bh,spec-waarde (geen tol-paar),
"Bitterheid Spec,",Recept-voorblad!F15; Recept-voorblad!F15,recipe_specificaties.bitterheid,spec-waarde,
Brouwsel (hl),Recept-voorblad!C9,recipes.brouwsel_hl,recept-basis,
CO2 Can +/-,Recept-voorblad!L14; Recept-voorblad!L14,recipe_specificaties.co2_can_tol,tolerantie,
"CO2 Can Spec,",Recept-voorblad!M14; Recept-voorblad!M14,recipe_specificaties.co2_can,spec-waarde,
CO2 fles +/-,Recept-voorblad!L13; Recept-voorblad!L13,recipe_specificaties.co2_fles_tol,tolerantie,
"CO2 fles Spec,",Recept-voorblad!M13; Recept-voorblad!M13,recipe_specificaties.co2_fles,spec-waarde,
CO2 fust +/-,Recept-voorblad!L15; Recept-voorblad!L15,recipe_specificaties.co2_fust_tol,tolerantie,
"CO2 fust Spec,",Recept-voorblad!M15; Recept-voorblad!M15,recipe_specificaties.co2_fust,spec-waarde,
Ca (water),Recept-voorblad!A97,recipe_water.ca,water,
Cl (water),Recept-voorblad!G97,recipe_water.cl,water,
Comment verwerken,Verwerking!C28,recipe_processtappen.comment_verwerken,processtap,
Comments 1,Brouwen!A44,recipe_comments.comments (samengevoegd tot 1 veld sinds recente sessie),comments,"LET OP: 3 losse Comments-velden bestaan niet meer, nu 1 tekstveld"
Comments 2,Brouwen!A45,recipe_comments.comments (samengevoegd tot 1 veld sinds recente sessie),comments,"LET OP: 3 losse Comments-velden bestaan niet meer, nu 1 tekstveld"
Comments 3,Brouwen!A46,recipe_comments.comments (samengevoegd tot 1 veld sinds recente sessie),comments,"LET OP: 3 losse Comments-velden bestaan niet meer, nu 1 tekstveld"
Dissolved O2 +/-,Recept-voorblad!L17; Recept-voorblad!L17,recipe_specificaties.dissolved_o2_tol,tolerantie,
"Dissolved O2 Spec,",Recept-voorblad!M17; Recept-voorblad!M17,recipe_specificaties.dissolved_o2,spec-waarde,
Dry Hop 1,Recept-voorblad!A58,"recipe_ingredients (rol=dry_hop, volgorde=1).ingredient_id (naam)",ingrediënt-rij,
Dry Hop 1 hoeveelheid,Recept-voorblad!E58,"recipe_ingredients (rol=dry_hop, volgorde=1).hoeveelheid",ingrediënt-rij,
Dry Hop 1 tijdstip,Recept-voorblad!G58,"recipe_ingredients (rol=dry_hop, volgorde=1).tijdstip",ingrediënt-rij,
Dry Hop 2,Recept-voorblad!A59,"recipe_ingredients (rol=dry_hop, volgorde=2).ingredient_id (naam)",ingrediënt-rij,
Dry Hop 2 hoeveelheid,Recept-voorblad!E59,"recipe_ingredients (rol=dry_hop, volgorde=2).hoeveelheid",ingrediënt-rij,
Dry Hop 2 tijdstip,Recept-voorblad!G59,"recipe_ingredients (rol=dry_hop, volgorde=2).tijdstip",ingrediënt-rij,
Dry Hop 3,Recept-voorblad!A60,"recipe_ingredients (rol=dry_hop, volgorde=3).ingredient_id (naam)",ingrediënt-rij,
Dry Hop 3 hoeveelheid,Recept-voorblad!E60,"recipe_ingredients (rol=dry_hop, volgorde=3).hoeveelheid",ingrediënt-rij,
Dry Hop 3 tijdstip,Recept-voorblad!G60,"recipe_ingredients (rol=dry_hop, volgorde=3).tijdstip",ingrediënt-rij,
Dry Hop 4,Recept-voorblad!A61,"recipe_ingredients (rol=dry_hop, volgorde=4).ingredient_id (naam)",ingrediënt-rij,
Dry Hop 4 hoeveelheid,Recept-voorblad!E61,"recipe_ingredients (rol=dry_hop, volgorde=4).hoeveelheid",ingrediënt-rij,
Dry Hop 4 tijdstip,Recept-voorblad!G61,"recipe_ingredients (rol=dry_hop, volgorde=4).tijdstip",ingrediënt-rij,
Dry Hop 5,Recept-voorblad!A62,"recipe_ingredients (rol=dry_hop, volgorde=5).ingredient_id (naam)",ingrediënt-rij,
Dry Hop 5 hoeveelheid,Recept-voorblad!E62,"recipe_ingredients (rol=dry_hop, volgorde=5).hoeveelheid",ingrediënt-rij,
Dry Hop 5 tijdstip,Recept-voorblad!G62,"recipe_ingredients (rol=dry_hop, volgorde=5).tijdstip",ingrediënt-rij,
Dry Hop 6,Recept-voorblad!A63,"recipe_ingredients (rol=dry_hop, volgorde=6).ingredient_id (naam)",ingrediënt-rij,
Dry Hop 6 hoeveelheid,Recept-voorblad!E63,"recipe_ingredients (rol=dry_hop, volgorde=6).hoeveelheid",ingrediënt-rij,
Dry Hop 6 tijdstip,Recept-voorblad!G63,"recipe_ingredients (rol=dry_hop, volgorde=6).tijdstip",ingrediënt-rij,
Dry Hop comment Koud 16C,Gistkaart Invoer!O22,recipe_processtappen.dry_hop_comment_16c,processtap,
Dry hop comment warm,Gistkaart Invoer!O21,recipe_processtappen.dry_hop_comment_warm,processtap,
"Extract dry, Warm 1 +/-",Recept-voorblad!E25; Recept-voorblad!E25,recipe_fermentatie.extract_dry_warm_1_tol,tolerantie,
"Extract dry, Warm 1 Spec,",Recept-voorblad!F25; Recept-voorblad!F25,recipe_fermentatie.extract_dry_warm_1,spec-waarde,
"Extract dry, Warm 2 +/-",Recept-voorblad!E26; Recept-voorblad!E26,recipe_fermentatie.extract_dry_warm_2_tol,tolerantie,
"Extract dry, Warm 2 Spec,",Recept-voorblad!F26; Recept-voorblad!F26,recipe_fermentatie.extract_dry_warm_2,spec-waarde,
"Extract dry, Warm 3 +/-",Recept-voorblad!E27; Recept-voorblad!E27,recipe_fermentatie.extract_dry_warm_3_tol,tolerantie,
"Extract dry, Warm 3 Spec,",Recept-voorblad!F27; Recept-voorblad!F27,recipe_fermentatie.extract_dry_warm_3,spec-waarde,
Gewenste verdamping,Brouwen!F20,recipe_brouwspecificaties.gewenste_verdamping,brouwspecificatie,
Gist 1 hoeveelheid,Recept-voorblad!G85,"recipe_ingredients (rol=gist, volgorde=1).hoeveelheid",ingrediënt-rij,
Gist 2 hoeveelheid,Recept-voorblad!G86,"recipe_ingredients (rol=gist, volgorde=2).hoeveelheid",ingrediënt-rij,
Gist type 1:,Recept-voorblad!A85,"recipe_ingredients (rol=gist, volgorde=1).ingredient_id (naam)",ingrediënt-rij,
Gist type 2:,Recept-voorblad!A86,"recipe_ingredients (rol=gist, volgorde=2).ingredient_id (naam)",ingrediënt-rij,
Headspace O2 +/-,Recept-voorblad!L16; Recept-voorblad!L16,recipe_specificaties.headspace_o2_tol,tolerantie,
"Headspace O2 Spec,",Recept-voorblad!M16; Recept-voorblad!M16,recipe_specificaties.headspace_o2,spec-waarde,
Hop 1,Recept-voorblad!A43,"recipe_ingredients (rol=hopgift_kook, volgorde=1).ingredient_id (naam)",ingrediënt-rij,
Hop 1 HDT,Recept-voorblad!Q43,"recipe_ingredients (rol=hopgift_kook, volgorde=1).hdt",ingrediënt-rij,
Hop 1 alphas,Recept-voorblad!D43; Recept-voorblad!D43,"recipe_ingredients (rol=hopgift_kook, volgorde=1).alpha_pct",ingrediënt-rij,
Hop 1 hoeveelheid,Recept-voorblad!E43,"recipe_ingredients (rol=hopgift_kook, volgorde=1).hoeveelheid",ingrediënt-rij,
Hop 1 tijdstip,Recept-voorblad!G43,"recipe_ingredients (rol=hopgift_kook, volgorde=1).tijdstip",ingrediënt-rij,
Hop 10,Recept-voorblad!A52,"recipe_ingredients (rol=hopgift_kook, volgorde=10).ingredient_id (naam)",ingrediënt-rij,
Hop 10 HDT,Recept-voorblad!Q52,"recipe_ingredients (rol=hopgift_kook, volgorde=10).hdt",ingrediënt-rij,
Hop 10 alphas,Recept-voorblad!D52; Recept-voorblad!D52,"recipe_ingredients (rol=hopgift_kook, volgorde=10).alpha_pct",ingrediënt-rij,
Hop 10 hoeveelheid,Recept-voorblad!E52,"recipe_ingredients (rol=hopgift_kook, volgorde=10).hoeveelheid",ingrediënt-rij,
Hop 10 tijdstip,Recept-voorblad!G52,"recipe_ingredients (rol=hopgift_kook, volgorde=10).tijdstip",ingrediënt-rij,
Hop 11,Recept-voorblad!A53,"recipe_ingredients (rol=hopgift_kook, volgorde=11).ingredient_id (naam)",ingrediënt-rij,
Hop 11 HDT,Recept-voorblad!Q53,"recipe_ingredients (rol=hopgift_kook, volgorde=11).hdt",ingrediënt-rij,
Hop 11 alphas,Recept-voorblad!D53; Recept-voorblad!D53,"recipe_ingredients (rol=hopgift_kook, volgorde=11).alpha_pct",ingrediënt-rij,
Hop 11 hoeveelheid,Recept-voorblad!E53,"recipe_ingredients (rol=hopgift_kook, volgorde=11).hoeveelheid",ingrediënt-rij,
Hop 11 tijdstip,Recept-voorblad!G53,"recipe_ingredients (rol=hopgift_kook, volgorde=11).tijdstip",ingrediënt-rij,
Hop 12,Recept-voorblad!A54,"recipe_ingredients (rol=hopgift_kook, volgorde=12).ingredient_id (naam)",ingrediënt-rij,
Hop 12 HDT,Recept-voorblad!Q54,"recipe_ingredients (rol=hopgift_kook, volgorde=12).hdt",ingrediënt-rij,
Hop 12 alphas,Recept-voorblad!D54; Recept-voorblad!D54,"recipe_ingredients (rol=hopgift_kook, volgorde=12).alpha_pct",ingrediënt-rij,
Hop 12 hoeveelheid,Recept-voorblad!E54,"recipe_ingredients (rol=hopgift_kook, volgorde=12).hoeveelheid",ingrediënt-rij,
Hop 12 tijdstip,Recept-voorblad!G54,"recipe_ingredients (rol=hopgift_kook, volgorde=12).tijdstip",ingrediënt-rij,
Hop 13,Recept-voorblad!A55,"recipe_ingredients (rol=hopgift_kook, volgorde=13).ingredient_id (naam)",ingrediënt-rij,
Hop 13 HDT,Recept-voorblad!Q55,"recipe_ingredients (rol=hopgift_kook, volgorde=13).hdt",ingrediënt-rij,
Hop 13 alphas,Recept-voorblad!D55; Recept-voorblad!D55,"recipe_ingredients (rol=hopgift_kook, volgorde=13).alpha_pct",ingrediënt-rij,
Hop 13 hoeveelheid,Recept-voorblad!E55,"recipe_ingredients (rol=hopgift_kook, volgorde=13).hoeveelheid",ingrediënt-rij,
Hop 13 tijdstip,Recept-voorblad!G55,"recipe_ingredients (rol=hopgift_kook, volgorde=13).tijdstip",ingrediënt-rij,
Hop 14,Recept-voorblad!A56,"recipe_ingredients (rol=hopgift_kook, volgorde=14).ingredient_id (naam)",ingrediënt-rij,
Hop 14 HDT,Recept-voorblad!Q56,"recipe_ingredients (rol=hopgift_kook, volgorde=14).hdt",ingrediënt-rij,
Hop 14 alphas,Recept-voorblad!D56; Recept-voorblad!D56,"recipe_ingredients (rol=hopgift_kook, volgorde=14).alpha_pct",ingrediënt-rij,
Hop 14 hoeveelheid,Recept-voorblad!E56,"recipe_ingredients (rol=hopgift_kook, volgorde=14).hoeveelheid",ingrediënt-rij,
Hop 14 tijdstip,Recept-voorblad!G56,"recipe_ingredients (rol=hopgift_kook, volgorde=14).tijdstip",ingrediënt-rij,
Hop 15,Recept-voorblad!A57,"recipe_ingredients (rol=hopgift_kook, volgorde=15).ingredient_id (naam)",ingrediënt-rij,
Hop 15 HDT,Recept-voorblad!Q57,"recipe_ingredients (rol=hopgift_kook, volgorde=15).hdt",ingrediënt-rij,
Hop 15 alphas,Recept-voorblad!D57; Recept-voorblad!D57,"recipe_ingredients (rol=hopgift_kook, volgorde=15).alpha_pct",ingrediënt-rij,
Hop 15 hoeveelheid,Recept-voorblad!E57,"recipe_ingredients (rol=hopgift_kook, volgorde=15).hoeveelheid",ingrediënt-rij,
Hop 15 tijdstip,Recept-voorblad!G57,"recipe_ingredients (rol=hopgift_kook, volgorde=15).tijdstip",ingrediënt-rij,
Hop 2,Recept-voorblad!A44,"recipe_ingredients (rol=hopgift_kook, volgorde=2).ingredient_id (naam)",ingrediënt-rij,
Hop 2 HDT,Recept-voorblad!Q44,"recipe_ingredients (rol=hopgift_kook, volgorde=2).hdt",ingrediënt-rij,
Hop 2 alphas,Recept-voorblad!D44; Recept-voorblad!D44,"recipe_ingredients (rol=hopgift_kook, volgorde=2).alpha_pct",ingrediënt-rij,
Hop 2 hoeveelheid,Recept-voorblad!E44,"recipe_ingredients (rol=hopgift_kook, volgorde=2).hoeveelheid",ingrediënt-rij,
Hop 2 tijdstip,Recept-voorblad!G44,"recipe_ingredients (rol=hopgift_kook, volgorde=2).tijdstip",ingrediënt-rij,
Hop 3,Recept-voorblad!A45,"recipe_ingredients (rol=hopgift_kook, volgorde=3).ingredient_id (naam)",ingrediënt-rij,
Hop 3 HDT,Recept-voorblad!Q45,"recipe_ingredients (rol=hopgift_kook, volgorde=3).hdt",ingrediënt-rij,
Hop 3 alphas,Recept-voorblad!D45; Recept-voorblad!D45,"recipe_ingredients (rol=hopgift_kook, volgorde=3).alpha_pct",ingrediënt-rij,
Hop 3 hoeveelheid,Recept-voorblad!E45,"recipe_ingredients (rol=hopgift_kook, volgorde=3).hoeveelheid",ingrediënt-rij,
Hop 3 tijdstip,Recept-voorblad!G45,"recipe_ingredients (rol=hopgift_kook, volgorde=3).tijdstip",ingrediënt-rij,
Hop 4,Recept-voorblad!A46,"recipe_ingredients (rol=hopgift_kook, volgorde=4).ingredient_id (naam)",ingrediënt-rij,
Hop 4 HDT,Recept-voorblad!Q46,"recipe_ingredients (rol=hopgift_kook, volgorde=4).hdt",ingrediënt-rij,
Hop 4 alphas,Recept-voorblad!D46; Recept-voorblad!D46,"recipe_ingredients (rol=hopgift_kook, volgorde=4).alpha_pct",ingrediënt-rij,
Hop 4 hoeveelheid,Recept-voorblad!E46,"recipe_ingredients (rol=hopgift_kook, volgorde=4).hoeveelheid",ingrediënt-rij,
Hop 4 tijdstip,Recept-voorblad!G46,"recipe_ingredients (rol=hopgift_kook, volgorde=4).tijdstip",ingrediënt-rij,
Hop 5,Recept-voorblad!A47,"recipe_ingredients (rol=hopgift_kook, volgorde=5).ingredient_id (naam)",ingrediënt-rij,
Hop 5 HDT,Recept-voorblad!Q47,"recipe_ingredients (rol=hopgift_kook, volgorde=5).hdt",ingrediënt-rij,
Hop 5 alphas,Recept-voorblad!D47; Recept-voorblad!D47,"recipe_ingredients (rol=hopgift_kook, volgorde=5).alpha_pct",ingrediënt-rij,
Hop 5 hoeveelheid,Recept-voorblad!E47,"recipe_ingredients (rol=hopgift_kook, volgorde=5).hoeveelheid",ingrediënt-rij,
Hop 5 tijdstip,Recept-voorblad!G47,"recipe_ingredients (rol=hopgift_kook, volgorde=5).tijdstip",ingrediënt-rij,
Hop 6,Recept-voorblad!A48,"recipe_ingredients (rol=hopgift_kook, volgorde=6).ingredient_id (naam)",ingrediënt-rij,
Hop 6 HDT,Recept-voorblad!Q48,"recipe_ingredients (rol=hopgift_kook, volgorde=6).hdt",ingrediënt-rij,
Hop 6 alphas,Recept-voorblad!D48; Recept-voorblad!D48,"recipe_ingredients (rol=hopgift_kook, volgorde=6).alpha_pct",ingrediënt-rij,
Hop 6 hoeveelheid,Recept-voorblad!E48,"recipe_ingredients (rol=hopgift_kook, volgorde=6).hoeveelheid",ingrediënt-rij,
Hop 6 tijdstip,Recept-voorblad!G48,"recipe_ingredients (rol=hopgift_kook, volgorde=6).tijdstip",ingrediënt-rij,
Hop 7,Recept-voorblad!A49,"recipe_ingredients (rol=hopgift_kook, volgorde=7).ingredient_id (naam)",ingrediënt-rij,
Hop 7 HDT,Recept-voorblad!Q49,"recipe_ingredients (rol=hopgift_kook, volgorde=7).hdt",ingrediënt-rij,
Hop 7 alphas,Recept-voorblad!D49; Recept-voorblad!D49,"recipe_ingredients (rol=hopgift_kook, volgorde=7).alpha_pct",ingrediënt-rij,
Hop 7 hoeveelheid,Recept-voorblad!E49,"recipe_ingredients (rol=hopgift_kook, volgorde=7).hoeveelheid",ingrediënt-rij,
Hop 7 tijdstip,Recept-voorblad!G49,"recipe_ingredients (rol=hopgift_kook, volgorde=7).tijdstip",ingrediënt-rij,
Hop 8,Recept-voorblad!A50,"recipe_ingredients (rol=hopgift_kook, volgorde=8).ingredient_id (naam)",ingrediënt-rij,
Hop 8 HDT,Recept-voorblad!Q50,"recipe_ingredients (rol=hopgift_kook, volgorde=8).hdt",ingrediënt-rij,
Hop 8 alphas,Recept-voorblad!D50; Recept-voorblad!D50,"recipe_ingredients (rol=hopgift_kook, volgorde=8).alpha_pct",ingrediënt-rij,
Hop 8 hoeveelheid,Recept-voorblad!E50,"recipe_ingredients (rol=hopgift_kook, volgorde=8).hoeveelheid",ingrediënt-rij,
Hop 8 tijdstip,Recept-voorblad!G50,"recipe_ingredients (rol=hopgift_kook, volgorde=8).tijdstip",ingrediënt-rij,
Hop 9,Recept-voorblad!A51,"recipe_ingredients (rol=hopgift_kook, volgorde=9).ingredient_id (naam)",ingrediënt-rij,
Hop 9 HDT,Recept-voorblad!Q51,"recipe_ingredients (rol=hopgift_kook, volgorde=9).hdt",ingrediënt-rij,
Hop 9 alphas,Recept-voorblad!D51; Recept-voorblad!D51,"recipe_ingredients (rol=hopgift_kook, volgorde=9).alpha_pct",ingrediënt-rij,
Hop 9 hoeveelheid,Recept-voorblad!E51,"recipe_ingredients (rol=hopgift_kook, volgorde=9).hoeveelheid",ingrediënt-rij,
Hop 9 tijdstip,Recept-voorblad!G51,"recipe_ingredients (rol=hopgift_kook, volgorde=9).tijdstip",ingrediënt-rij,
Inmaischen temp,Brouwen!C24,recipe_brouwspecificaties.mash_inmaischen_temp,brouwspecificatie,
Inmaischen tijd,Brouwen!F24,recipe_brouwspecificaties.mash_inmaischen_tijd,brouwspecificatie,
Intensiteit koken,Brouwen!F21,recipe_brouwspecificaties.intensiteit_koken,brouwspecificatie,
Kleur +/-,Recept-voorblad!E16; Recept-voorblad!E16,recipe_specificaties.kleur_tol,tolerantie,
"Kleur Spec,",Recept-voorblad!F16; Recept-voorblad!F16,recipe_specificaties.kleur,spec-waarde,
"Lager temp, +/-",Recept-voorblad!L23; Recept-voorblad!L23,recipe_fermentatie.lager_temp_tol,tolerantie,
"Lager temp, Spec,",Recept-voorblad!M23; Recept-voorblad!M23,recipe_fermentatie.lager_temp,spec-waarde,
Lagertijd +/-,Recept-voorblad!L22; Recept-voorblad!L22,recipe_fermentatie.lagertijd_tol,tolerantie,
"Lagertijd Spec,",Recept-voorblad!M22; Recept-voorblad!M22,recipe_fermentatie.lagertijd,spec-waarde,
Main Ferm Temp +/-,Recept-voorblad!E22; Recept-voorblad!E22,recipe_fermentatie.main_ferm_temp_tol,tolerantie,
"Main Ferm Temp Spec,",Recept-voorblad!F22; Recept-voorblad!F22,recipe_fermentatie.main_ferm_temp,spec-waarde,parser-glitch opgelost: is gewoon Main Ferm Temp
Mg (water),Recept-voorblad!C97,recipe_water.mg,water,
Mout Type 1,Recept-voorblad!A30,"recipe_ingredients (rol=hoofdmout, volgorde=1).ingredient_id (naam)",ingrediënt-rij,
Mout Type 1 Gewicht,Recept-voorblad!D30,"recipe_ingredients (rol=hoofdmout, volgorde=1).hoeveelheid",ingrediënt-rij,
Mout Type 1 Kleur,Recept-voorblad!E30,"recipe_ingredients (rol=hoofdmout, volgorde=1).kleur_ebc",ingrediënt-rij,
Mout Type 10,Recept-voorblad!A39,"recipe_ingredients (rol=hoofdmout, volgorde=10).ingredient_id (naam)",ingrediënt-rij,
Mout Type 10 Gewicht,Recept-voorblad!D39,"recipe_ingredients (rol=hoofdmout, volgorde=10).hoeveelheid",ingrediënt-rij,
